"entry";"name";"gossip_menu_id";"minlevel";"maxlevel";"exp";"faction";"npcflag";"detection_range";"rank";"dmgschool";"DamageModifier";"BaseAttackTime";"RangeAttackTime";"BaseVariance";"RangeVariance";"unit_class";"unit_flags";"unit_flags2";"dynamicflags";"family";"type";"type_flags";"mingold";"maxgold";"HealthModifier";"ManaModifier";"ArmorModifier";"ExperienceModifier";"RacialLeader";"RegenHealth";"mechanic_immune_mask";"spell_school_immune_mask";"flags_extra";"ScriptName"
1;"Waypoint (Only GM can see it)";0;1;80;0;35;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;8;0;0;0;0.0125;1.0;1.0;1.0;0;1;0;0;130;""
3;"Flesh Eater";0;24;25;0;21;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;6;0;32;47;1.02;1.0;1.0;1.0;0;1;8388624;0;0;""
6;"Kobold Vermin";0;1;2;0;25;0;10.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;1;5;1.0;1.0;1.0;1.0;0;1;0;0;2;""
19;"Benny Questgiver";0;20;20;0;35;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
25;"Mithril Mechanical Dragonling";0;45;45;0;2;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;9;6;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
29;"Kanrethad";0;1;1;0;35;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1250.0;1.0;1.0;1.0;0;1;0;0;0;""
30;"Forest Spider";0;5;6;0;22;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;3;1;1;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
31;"Furbolg";0;1;2;0;35;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
36;"Harvest Golem";0;11;12;0;14;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;9;32768;3;24;1.0;1.0;1.0;1.0;0;1;8388624;0;0;""
38;"Defias Thug";0;3;4;0;7;0;10.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;1;5;1.0;1.0;1.0;1.0;0;1;0;0;0;""
40;"Kobold Miner";0;6;7;0;26;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;1;12;1.0;1.0;1.0;1.0;0;1;0;0;0;""
43;"Mine Spider";0;8;9;0;22;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;3;1;1;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
46;"Murloc Forager";0;9;10;0;18;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;32768;2048;0;0;7;0;2;15;1.0;1.0;1.0;1.0;0;1;0;0;0;""
48;"Skeletal Warrior";0;21;22;0;21;0;18.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;6;0;27;40;1.02;1.0;1.0;1.0;0;1;8585745;0;0;""
49;"Lesser Succubus";0;20;20;0;90;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;3;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
54;"Corina Steele";0;10;10;0;12;4224;18.0;0;0;1.0;2000;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
55;"Mean Ed the Blacksmith";0;20;20;0;12;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
60;"Ruklar the Trapper";0;8;8;0;26;0;18.0;0;0;1.0;2000;2000;1.0;1.0;2;0;2048;0;0;7;0;7;14;1.0;1.0;1.0;1.0;0;1;0;0;0;""
61;"Thuros Lightfingers";0;11;11;0;17;0;20.0;4;0;1.0;1700;2000;1.0;1.0;1;0;2048;0;0;7;0;11;19;1.0;1.0;1.0;1.0;0;1;0;0;0;""
62;"Gug Fatcandle";0;4;4;0;26;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
65;"Peasant Woman";0;1;2;0;12;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
66;"Tharynn Bouden";0;10;10;0;12;128;18.0;0;0;1.0;1500;2000;1.0;1.0;1;512;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;2;""
67;"[UNUSED] Marlon Darnik";0;5;5;0;12;0;20.0;0;0;1.0;2000;2000;1.0;1.0;1;0;2048;0;0;7;0;0;0;1.0;1.0;1.0;1.0;0;1;0;0;0;""
